Player,height,Age,all_games,total_started,ppg,apg,rpg,FG%,FT%,3P%,All_Star
"Thaddeus Young",6-8,28,74,74,11.0000,1.6486,6.0675675675675675,0.527,0.523,0.381,0
"Kent Bazemore",6-5,27,73,64,10.9726,2.4247,3.164383561643836,0.409,0.708,0.346,0
"Emmanuel Mudiay",6-5,20,55,41,10.9636,3.9455,3.2363636363636363,0.377,0.784,0.315,0
"Deron Williams",6-3,32,64,44,10.9531,5.6250,2.296875,0.438,0.826,0.363,0
"Justise Winslow",6-7,20,18,15,10.8889,3.6667,5.222222222222222,0.356,0.617,0.2,0
"J.J. Barea",6-0,32,35,6,10.8857,5.5143,2.4,0.414,0.863,0.358,0
"Taj Gibson",6-9,31,78,71,10.8462,0.9359,6.230769230769231,0.515,0.715,0.231,0
"Courtney Lee",6-5,31,77,74,10.8442,2.3247,3.3766233766233764,0.456,0.867,0.401,0
"Terrence Jones",6-9,25,54,12,10.8148,1.0741,5.666666666666667,0.47,0.606,0.253,0
"Marcin Gortat",6-11,32,82,82,10.7683,1.4756,10.353658536585366,0.579,0.648,0,0
"C.J. Miles",6-6,29,76,29,10.7237,0.6316,3.013157894736842,0.434,0.903,0.413,0
"Allen Crabbe",6-6,24,79,7,10.6962,1.1772,2.848101265822785,0.468,0.847,0.444,0
"Alex Poythress",6-7,23,6,1,10.6667,0.8333,4.833333333333333,0.463,0.8,0.316,0
"Nikola Mirotic",6-10,25,70,15,10.6286,1.0714,5.485714285714286,0.413,0.773,0.342,0
"Marcus Smart",6-4,22,79,24,10.5696,4.6076,3.8734177215189876,0.359,0.812,0.283,0
"Buddy Hield",6-4,23,82,55,10.5610,1.4756,3.2804878048780486,0.426,0.842,0.391,0
"Marco Belinelli",6-5,30,74,0,10.5405,1.9865,2.4054054054054053,0.429,0.893,0.36,0
"Wayne Ellington",6-4,29,62,13,10.4516,1.1290,2.1451612903225805,0.416,0.86,0.378,0
"Mason Plumlee",6-11,26,81,64,10.3951,3.5062,7.481481481481482,0.536,0.58,0,0
"Robin Lopez",7-0,28,81,81,10.3580,0.9877,6.407407407407407,0.493,0.721,0,0
"Cody Zeller",7-0,24,62,58,10.3065,1.5968,6.532258064516129,0.571,0.679,0,0
"Tyreke Evans",6-6,27,40,6,10.2750,3.1000,3.425,0.405,0.75,0.356,0
"Malcolm Brogdon",6-5,24,75,28,10.2267,4.2267,2.84,0.457,0.865,0.404,0
"Jon Leuer",6-10,27,75,34,10.2267,1.4800,5.36,0.48,0.867,0.293,0
"Draymond Green",6-7,26,76,76,10.2105,7.0132,7.881578947368421,0.418,0.709,0.308,1
"Jusuf Nurkic",7-0,22,65,48,10.1846,1.8923,7.184615384615385,0.507,0.571,0,0
"Josh Richardson",6-6,23,53,34,10.1698,2.6415,3.169811320754717,0.394,0.779,0.33,0
"Tony Parker",6-2,34,63,63,10.1270,4.5238,1.7936507936507937,0.466,0.726,0.333,0
"Kyle Korver",6-7,35,67,22,10.1194,1.6418,2.791044776119403,0.464,0.905,0.451,0
"Yogi Ferrell",6-0,23,46,29,10.0435,3.7391,2.4130434782608696,0.406,0.831,0.386,0
"Maurice Harkless",6-9,23,77,69,10.0390,1.1558,4.428571428571429,0.503,0.621,0.351,0
"Trevor Booker",6-8,29,71,43,9.9859,1.9437,8.028169014084508,0.516,0.673,0.321,0
"Gorgui Dieng",6-11,27,82,82,9.9512,1.9268,7.890243902439025,0.502,0.814,0.372,0
"Shabazz Muhammad",6-6,24,78,1,9.8974,0.4487,2.8205128205128207,0.482,0.774,0.336,0
"Jamal Murray",6-4,19,82,10,9.8902,2.0732,2.6097560975609757,0.404,0.883,0.334,0
"Ty Lawson",5-11,29,69,24,9.8696,4.8551,2.5942028985507246,0.454,0.797,0.288,0
"Richaun Holmes",6-10,23,57,17,9.8070,1.0175,5.456140350877193,0.558,0.699,0.351,0
"Jeremy Lamb",6-5,24,62,5,9.7258,1.2097,4.258064516129032,0.46,0.853,0.281,0
"Kenneth Faried",6-8,27,61,34,9.6230,0.9016,7.557377049180328,0.548,0.693,0,0
"E'Twaun Moore",6-4,27,73,22,9.5890,2.2466,2.0821917808219177,0.457,0.77,0.37,0
"Patrick Beverley",6-1,28,67,67,9.5373,4.1940,5.880597014925373,0.42,0.768,0.382,0
"Derrick Favors",6-10,25,50,39,9.5200,1.1200,6.1,0.487,0.615,0.3,0
"Patty Mills",6-0,28,80,8,9.4875,3.5000,1.775,0.439,0.825,0.413,0
"Nik Stauskas",6-6,23,80,27,9.4500,2.3500,2.825,0.396,0.813,0.368,0
"Michael Beasley",6-9,28,56,6,9.4286,0.9464,3.4464285714285716,0.532,0.743,0.419,0
"Brandon Ingram",6-9,19,79,40,9.3671,2.1013,4.012658227848101,0.402,0.621,0.294,0
"Ish Smith",6-0,28,81,32,9.3580,5.1605,2.9012345679012346,0.439,0.706,0.267,0
"Cory Joseph",6-3,25,80,22,9.2500,3.3125,2.9375,0.452,0.77,0.356,0
"Jeff Green",6-9,30,69,11,9.2464,1.1739,3.101449275362319,0.394,0.863,0.275,0
"Gerald Henderson",6-2,29,72,41,9.1944,1.5556,2.5694444444444446,0.423,0.806,0.353,0
"Gerald Henderson",6-5,29,72,41,9.1944,1.5556,2.5694444444444446,0.423,0.806,0.353,0
"Marquese Chriss",6-10,19,82,75,9.1829,0.7317,4.2439024390243905,0.449,0.624,0.321,0
"Michael Kidd-Gilchrist",6-7,23,81,81,9.1728,1.4074,6.9753086419753085,0.477,0.784,0.111,0
"Joe Johnson",6-7,35,78,14,9.1667,1.8462,3.1025641025641026,0.436,0.818,0.411,0
"Jameer Nelson",6-0,34,75,39,9.1600,5.1333,2.56,0.444,0.714,0.388,0
"Channing Frye",6-11,33,74,15,9.1351,0.6081,3.918918918918919,0.458,0.851,0.409,0
"Nene Hilario",6-11,34,67,8,9.0896,0.9701,4.1940298507462686,0.617,0.589,0.333,0
"Montrezl Harrell",6-8,23,58,14,9.0862,1.1034,3.7758620689655173,0.652,0.628,0.143,0
"Jodie Meeks",6-4,29,36,10,9.0833,1.2500,2.138888888888889,0.402,0.878,0.409,0
"Tony Allen",6-4,35,71,66,9.0563,1.3803,5.507042253521127,0.461,0.615,0.278,0
"Kelly Olynyk",7-0,25,75,6,9.0400,1.9733,4.8,0.512,0.732,0.354,0
"Evan Turner",6-7,28,65,12,9.0154,3.1538,3.8,0.426,0.825,0.263,0
"Dahntay Jones",6-6,36,1,0,9.0000,1.0000,2,0.375,0.75,0,0
"Doug McDermott",6-8,25,66,5,8.9697,0.8788,2.712121212121212,0.447,0.845,0.372,0
"JaMychal Green",6-9,26,77,75,8.9481,1.0909,7.064935064935065,0.5,0.802,0.379,0
"DeMarre Carroll",6-8,30,72,72,8.8611,1.0278,3.8194444444444446,0.401,0.761,0.341,0
"Skal Labissiere",6-11,20,33,12,8.7576,0.8182,4.909090909090909,0.537,0.703,0.375,0
